img,x,y,brightness,alpha,surrounding_brightness
src/data/1.png,13,0,42,252,35
src/data/1.png,14,0,41,255,35
src/data/1.png,15,0,38,255,34
src/data/1.png,16,0,37,255,33
src/data/1.png,17,0,36,255,34
src/data/1.png,18,0,40,255,36
src/data/1.png,19,0,45,255,38
src/data/1.png,20,0,45,3,38
src/data/1.png,9,1,40,252,29
src/data/1.png,10,1,34,255,31
src/data/1.png,11,1,29,255,32
src/data/1.png,12,1,28,255,34
src/data/1.png,13,1,30,255,35
src/data/1.png,14,1,29,255,35
src/data/1.png,15,1,27,255,35
src/data/1.png,16,1,27,255,35
src/data/1.png,17,1,27,255,35
src/data/1.png,18,1,30,255,35
src/data/1.png,19,1,30,255,36
src/data/1.png,20,1,32,255,35
src/data/1.png,21,1,32,255,34
src/data/1.png,22,1,38,255,33
src/data/1.png,23,1,45,255,34
src/data/1.png,24,1,45,3,34
src/data/1.png,6,2,48,252,36
src/data/1.png,7,2,38,255,35
src/data/1.png,8,2,29,255,34
src/data/1.png,9,2,27,255,35
src/data/1.png,10,2,29,255,36
src/data/1.png,11,2,33,255,35
src/data/1.png,12,2,37,255,33
src/data/1.png,13,2,35,255,32
src/data/1.png,14,2,36,255,31
src/data/1.png,15,2,38,255,31
src/data/1.png,16,2,39,255,31
src/data/1.png,17,2,38,255,31
src/data/1.png,18,2,36,255,31
src/data/1.png,19,2,34,255,32
src/data/1.png,20,2,32,255,31
src/data/1.png,21,2,30,255,34
src/data/1.png,22,2,30,255,35
src/data/1.png,23,2,29,255,36
src/data/1.png,24,2,30,255,34
src/data/1.png,25,2,35,255,34
src/data/1.png,26,2,44,255,35
src/data/1.png,27,2,44,3,38
src/data/1.png,5,3,40,252,42
src/data/1.png,6,3,36,255,40
src/data/1.png,7,3,32,255,38
src/data/1.png,8,3,31,255,34
src/data/1.png,9,3,36,255,32
src/data/1.png,10,3,47,255,34
src/data/1.png,11,3,47,3,36
src/data/1.png,22,3,40,252,30
src/data/1.png,23,3,34,255,31
src/data/1.png,24,3,29,255,31
src/data/1.png,25,3,27,255,33
src/data/1.png,26,3,32,255,35
src/data/1.png,27,3,39,255,36
src/data/1.png,28,3,39,3,34
src/data/1.png,4,4,43,252,42
src/data/1.png,5,4,40,255,42
src/data/1.png,6,4,44,255,40
src/data/1.png,7,4,44,3,37
src/data/1.png,25,4,36,252,29
src/data/1.png,26,4,30,255,34
src/data/1.png,27,4,30,255,34
src/data/1.png,28,4,33,255,33
src/data/1.png,29,4,28,255,33
src/data/1.png,30,4,41,255,32
src/data/1.png,31,4,41,3,34
src/data/1.png,1,5,39,252,37
src/data/1.png,2,5,39,255,38
src/data/1.png,3,5,41,255,42
src/data/1.png,4,5,43,255,43
src/data/1.png,5,5,46,255,43
src/data/1.png,6,5,46,3,43
src/data/1.png,27,5,41,252,30
src/data/1.png,28,5,30,255,33
src/data/1.png,29,5,29,255,32
src/data/1.png,30,5,26,255,33
src/data/1.png,31,5,36,255,35
src/data/1.png,32,5,36,3,39
src/data/1.png,0,6,43,252,40
src/data/1.png,1,6,32,255,41
src/data/1.png,2,6,36,255,41
src/data/1.png,3,6,46,255,42
src/data/1.png,4,6,46,3,44
src/data/1.png,29,6,39,252,29
src/data/1.png,30,6,28,255,30
src/data/1.png,31,6,28,255,31
src/data/1.png,32,6,46,255,34
src/data/1.png,33,6,46,3,38
src/data/1.png,1,7,47,252,39
src/data/1.png,2,7,47,3,40
src/data/1.png,30,7,32,252,31
src/data/1.png,31,7,23,255,32
src/data/1.png,32,7,26,255,33
src/data/1.png,33,7,43,255,34
src/data/1.png,34,7,43,3,36
src/data/1.png,30,8,44,252,32
src/data/1.png,31,8,29,255,32
src/data/1.png,32,8,23,255,32
src/data/1.png,33,8,29,255,34
src/data/1.png,34,8,29,3,40
src/data/1.png,31,9,46,252,32
src/data/1.png,32,9,33,255,33
src/data/1.png,33,9,29,255,35
src/data/1.png,34,9,49,255,37
src/data/1.png,35,9,49,3,40
src/data/1.png,33,10,43,252,38
src/data/2.png,14,0,46,255,32
src/data/2.png,15,0,37,255,30
src/data/2.png,16,0,24,255,25
src/data/2.png,17,0,25,255,21
src/data/2.png,18,0,24,255,21
src/data/2.png,19,0,23,255,20
src/data/2.png,20,0,22,255,21
src/data/2.png,21,0,26,255,22
src/data/2.png,22,0,30,255,26
src/data/2.png,23,0,38,255,31
src/data/2.png,24,0,49,255,31
src/data/2.png,12,1,35,255,26
src/data/2.png,13,1,27,255,29
src/data/2.png,14,1,24,255,29
src/data/2.png,15,1,23,255,28
src/data/2.png,16,1,17,255,27
src/data/2.png,17,1,18,255,25
src/data/2.png,18,1,18,255,26
src/data/2.png,19,1,17,255,25
src/data/2.png,20,1,17,255,24
src/data/2.png,21,1,18,255,24
src/data/2.png,22,1,18,255,25
src/data/2.png,23,1,17,255,27
src/data/2.png,24,1,21,255,26
src/data/2.png,25,1,27,255,28
src/data/2.png,26,1,41,255,25
src/data/2.png,10,2,39,255,26
src/data/2.png,11,2,29,255,29
src/data/2.png,12,2,24,255,29
src/data/2.png,13,2,24,255,30
src/data/2.png,14,2,25,255,31
src/data/2.png,15,2,25,255,29
src/data/2.png,16,2,30,255,27
src/data/2.png,17,2,34,255,23
src/data/2.png,18,2,35,255,23
src/data/2.png,19,2,32,255,23
src/data/2.png,20,2,30,255,22
src/data/2.png,21,2,29,255,21
src/data/2.png,22,2,25,255,20
src/data/2.png,23,2,22,255,21
src/data/2.png,24,2,17,255,22
src/data/2.png,25,2,17,255,24
src/data/2.png,26,2,23,255,25
src/data/2.png,27,2,36,255,24
src/data/2.png,7,3,43,255,26
src/data/2.png,8,3,30,255,29
src/data/2.png,9,3,27,255,30
src/data/2.png,10,3,25,255,33
src/data/2.png,11,3,25,255,32
src/data/2.png,12,3,29,255,30
src/data/2.png,13,3,36,255,29
src/data/2.png,14,3,43,255,31
src/data/2.png,15,3,47,255,30
src/data/2.png,24,3,29,255,24
src/data/2.png,25,3,22,255,25
src/data/2.png,26,3,17,255,26
src/data/2.png,27,3,19,255,23
src/data/2.png,28,3,24,255,23
src/data/2.png,29,3,34,255,21
src/data/2.png,4,4,47,255,32
src/data/2.png,5,4,35,255,32
src/data/2.png,6,4,28,255,33
src/data/2.png,7,4,25,255,32
src/data/2.png,8,4,24,255,32
src/data/2.png,9,4,29,255,28
src/data/2.png,10,4,38,255,30
src/data/2.png,11,4,44,255,29
src/data/2.png,25,4,46,255,24
src/data/2.png,26,4,30,255,27
src/data/2.png,27,4,21,255,24
src/data/2.png,28,4,15,255,25
src/data/2.png,29,4,17,255,23
src/data/2.png,30,4,28,255,23
src/data/2.png,3,5,39,255,34
src/data/2.png,4,5,29,255,35
src/data/2.png,5,5,28,255,34
src/data/2.png,6,5,32,255,32
src/data/2.png,7,5,40,255,27
src/data/2.png,27,5,42,255,23
src/data/2.png,28,5,27,255,24
src/data/2.png,29,5,18,255,23
src/data/2.png,30,5,19,255,23
src/data/2.png,31,5,27,255,24
src/data/2.png,32,5,38,255,25
src/data/2.png,1,6,40,255,31
src/data/2.png,2,6,34,255,34
src/data/2.png,3,6,32,255,35
src/data/2.png,4,6,32,255,35
src/data/2.png,5,6,37,255,33
src/data/2.png,29,6,34,255,23
src/data/2.png,30,6,22,255,23
src/data/2.png,31,6,17,255,24
src/data/2.png,32,6,21,255,25
src/data/2.png,33,6,37,255,24
src/data/2.png,0,7,32,255,38
src/data/2.png,1,7,29,255,37
src/data/2.png,2,7,29,255,36
src/data/2.png,3,7,37,255,35
src/data/2.png,4,7,46,255,34
src/data/2.png,30,7,32,255,27
src/data/2.png,31,7,20,255,23
src/data/2.png,32,7,14,255,22
src/data/2.png,33,7,26,255,24
src/data/2.png,0,8,46,255,35
src/data/2.png,1,8,40,255,35
src/data/2.png,2,8,41,255,33
src/data/2.png,30,8,44,255,26
src/data/2.png,31,8,27,255,23
src/data/2.png,32,8,12,255,20
src/data/2.png,33,8,20,255,22
src/data/2.png,34,8,42,255,22
src/data/2.png,32,9,20,255,23
src/data/2.png,33,9,17,255,25
src/data/2.png,34,9,26,255,26
src/data/2.png,32,10,41,255,25
src/data/2.png,33,10,25,255,26
src/data/2.png,34,10,20,255,26
src/data/2.png,35,10,33,255,27
src/data/2.png,33,11,38,255,28
src/data/2.png,34,11,21,255,30
src/data/2.png,35,11,24,255,31
src/data/2.png,36,11,46,255,30
src/data/2.png,34,12,35,255,29
src/data/2.png,35,12,35,255,31
src/data/3.png,18,0,47,255,33
src/data/3.png,19,0,44,255,34
src/data/3.png,12,1,35,255,23
src/data/3.png,13,1,30,255,24
src/data/3.png,14,1,25,255,21
src/data/3.png,15,1,23,255,19
src/data/3.png,16,1,22,255,19
src/data/3.png,17,1,22,255,24
src/data/3.png,18,1,23,255,27
src/data/3.png,19,1,22,255,27
src/data/3.png,20,1,22,255,24
src/data/3.png,21,1,24,255,20
src/data/3.png,22,1,27,255,20
src/data/3.png,23,1,27,255,21
src/data/3.png,24,1,29,255,22
src/data/3.png,25,1,32,255,25
src/data/3.png,26,1,38,255,27
src/data/3.png,27,1,42,255,29
src/data/3.png,6,2,47,255,25
src/data/3.png,7,2,35,255,27
src/data/3.png,8,2,29,255,24
src/data/3.png,9,2,26,255,23
src/data/3.png,10,2,23,255,24
src/data/3.png,11,2,20,255,27
src/data/3.png,12,2,22,255,28
src/data/3.png,13,2,20,255,29
src/data/3.png,14,2,18,255,28
src/data/3.png,15,2,17,255,27
src/data/3.png,16,2,17,255,27
src/data/3.png,17,2,17,255,27
src/data/3.png,18,2,18,255,27
src/data/3.png,19,2,19,255,27
src/data/3.png,20,2,17,255,27
src/data/3.png,21,2,18,255,27
src/data/3.png,22,2,18,255,27
src/data/3.png,23,2,17,255,27
src/data/3.png,24,2,17,255,27
src/data/3.png,25,2,19,255,29
src/data/3.png,26,2,22,255,30
src/data/3.png,27,2,24,255,31
src/data/3.png,28,2,32,255,31
src/data/3.png,29,2,38,255,33
src/data/3.png,30,2,47,255,33
src/data/3.png,3,3,32,255,13
src/data/3.png,4,3,24,255,19
src/data/3.png,5,3,24,255,24
src/data/3.png,6,3,24,255,27
src/data/3.png,7,3,20,255,28
src/data/3.png,8,3,19,255,26
src/data/3.png,9,3,21,255,26
src/data/3.png,10,3,26,255,25
src/data/3.png,11,3,29,255,24
src/data/3.png,12,3,32,255,25
src/data/3.png,13,3,34,255,25
src/data/3.png,14,3,36,255,25
src/data/3.png,15,3,39,255,25
src/data/3.png,16,3,39,255,25
src/data/3.png,17,3,39,255,26
src/data/3.png,18,3,39,255,26
src/data/3.png,19,3,39,255,25
src/data/3.png,20,3,36,255,26
src/data/3.png,21,3,38,255,25
src/data/3.png,22,3,36,255,24
src/data/3.png,23,3,33,255,24
src/data/3.png,24,3,33,255,23
src/data/3.png,25,3,33,255,24
src/data/3.png,26,3,30,255,28
src/data/3.png,27,3,27,255,30
src/data/3.png,28,3,27,255,32
src/data/3.png,29,3,28,255,33
src/data/3.png,30,3,31,255,32
src/data/3.png,31,3,35,255,31
src/data/3.png,32,3,41,255,28
src/data/3.png,0,4,41,255,15
src/data/3.png,1,4,11,255,13
src/data/3.png,2,4,6,255,12
src/data/3.png,3,4,9,255,16
src/data/3.png,4,4,13,255,22
src/data/3.png,5,4,17,255,24
src/data/3.png,6,4,22,255,25
src/data/3.png,7,4,24,255,22
src/data/3.png,8,4,26,255,23
src/data/3.png,9,4,34,255,23
src/data/3.png,27,4,45,255,29
src/data/3.png,28,4,35,255,31
src/data/3.png,29,4,32,255,29
src/data/3.png,30,4,25,255,30
src/data/3.png,31,4,22,255,31
src/data/3.png,32,4,24,255,31
src/data/3.png,33,4,32,255,32
src/data/3.png,34,4,47,255,30
src/data/3.png,0,5,9,255,17
src/data/3.png,1,5,6,255,12
src/data/3.png,2,5,6,255,11
src/data/3.png,3,5,13,255,17
src/data/3.png,4,5,22,255,24
src/data/3.png,5,5,42,255,23
src/data/3.png,31,5,36,255,25
src/data/3.png,32,5,29,255,30
src/data/3.png,33,5,27,255,33
src/data/3.png,34,5,29,255,34
src/data/3.png,35,5,33,255,34
src/data/3.png,0,6,11,255,10
src/data/3.png,1,6,7,255,9
src/data/3.png,2,6,10,255,12
src/data/3.png,3,6,32,255,17
src/data/3.png,4,6,42,255,27
src/data/3.png,33,6,39,255,29
src/data/3.png,34,6,34,255,32
src/data/3.png,35,6,32,255,32
src/data/3.png,36,6,30,255,34
src/data/3.png,37,6,34,255,38
src/data/3.png,38,6,43,255,39
src/data/3.png,0,7,15,255,15
src/data/3.png,1,7,8,255,14
src/data/3.png,2,7,13,255,15
src/data/3.png,36,7,36,255,33
src/data/3.png,37,7,39,255,37
src/data/3.png,0,8,28,255,21
src/data/3.png,1,8,17,255,23
src/data/3.png,2,8,18,255,23
src/data/3.png,1,9,44,255,24
src/data/3.png,2,9,36,255,26
src/data/4.png,18,0,47,255,31
src/data/4.png,12,1,44,255,30
src/data/4.png,13,1,36,255,30
src/data/4.png,14,1,32,255,25
src/data/4.png,15,1,30,255,23
src/data/4.png,16,1,30,255,22
src/data/4.png,17,1,29,255,26
src/data/4.png,18,1,27,255,25
src/data/4.png,19,1,24,255,24
src/data/4.png,20,1,23,255,19
src/data/4.png,21,1,22,255,19
src/data/4.png,22,1,23,255,18
src/data/4.png,23,1,24,255,18
src/data/4.png,24,1,25,255,18
src/data/4.png,25,1,28,255,19
src/data/4.png,26,1,31,255,20
src/data/4.png,27,1,34,255,24
src/data/4.png,28,1,44,255,24
src/data/4.png,9,2,48,255,33
src/data/4.png,10,2,44,255,32
src/data/4.png,11,2,33,255,32
src/data/4.png,12,2,30,255,30
src/data/4.png,13,2,24,255,29
src/data/4.png,14,2,20,255,26
src/data/4.png,15,2,19,255,25
src/data/4.png,16,2,18,255,25
src/data/4.png,17,2,17,255,25
src/data/4.png,18,2,17,255,25
src/data/4.png,19,2,18,255,24
src/data/4.png,20,2,17,255,25
src/data/4.png,21,2,16,255,25
src/data/4.png,22,2,16,255,25
src/data/4.png,23,2,15,255,25
src/data/4.png,24,2,14,255,23
src/data/4.png,25,2,13,255,23
src/data/4.png,26,2,14,255,23
src/data/4.png,27,2,14,255,25
src/data/4.png,28,2,20,255,24
src/data/4.png,29,2,30,255,24
src/data/4.png,30,2,36,255,24
src/data/4.png,31,2,43,255,25
src/data/4.png,7,3,43,255,33
src/data/4.png,8,3,35,255,33
src/data/4.png,9,3,29,255,32
src/data/4.png,10,3,27,255,31
src/data/4.png,11,3,24,255,29
src/data/4.png,12,3,25,255,28
src/data/4.png,13,3,25,255,29
src/data/4.png,14,3,24,255,29
src/data/4.png,15,3,24,255,28
src/data/4.png,16,3,25,255,28
src/data/4.png,17,3,27,255,27
src/data/4.png,18,3,29,255,25
src/data/4.png,19,3,31,255,22
src/data/4.png,20,3,31,255,23
src/data/4.png,21,3,35,255,23
src/data/4.png,22,3,37,255,23
src/data/4.png,23,3,35,255,22
src/data/4.png,24,3,28,255,20
src/data/4.png,25,3,23,255,18
src/data/4.png,26,3,22,255,21
src/data/4.png,27,3,19,255,23
src/data/4.png,28,3,17,255,25
src/data/4.png,29,3,15,255,23
src/data/4.png,30,3,15,255,24
src/data/4.png,31,3,21,255,24
src/data/4.png,32,3,31,255,28
src/data/4.png,33,3,46,255,27
src/data/4.png,6,4,43,255,36
src/data/4.png,7,4,31,255,33
src/data/4.png,8,4,26,255,29
src/data/4.png,9,4,23,255,26
src/data/4.png,10,4,23,255,28
src/data/4.png,11,4,26,255,28
src/data/4.png,12,4,30,255,30
src/data/4.png,13,4,38,255,29
src/data/4.png,14,4,41,255,30
src/data/4.png,15,4,41,255,31
src/data/4.png,16,4,41,255,32
src/data/4.png,17,4,44,255,30
src/data/4.png,27,4,46,255,23
src/data/4.png,28,4,34,255,24
src/data/4.png,29,4,23,255,21
src/data/4.png,30,4,15,255,20
src/data/4.png,31,4,14,255,21
src/data/4.png,32,4,18,255,23
src/data/4.png,33,4,26,255,25
src/data/4.png,34,4,34,255,29
src/data/4.png,35,4,44,255,28
src/data/4.png,5,5,48,255,34
src/data/4.png,6,5,35,255,32
src/data/4.png,7,5,27,255,31
src/data/4.png,8,5,24,255,28
src/data/4.png,9,5,24,255,27
src/data/4.png,10,5,27,255,28
src/data/4.png,11,5,44,255,26
src/data/4.png,30,5,34,255,22
src/data/4.png,31,5,21,255,23
src/data/4.png,32,5,14,255,23
src/data/4.png,33,5,14,255,21
src/data/4.png,34,5,18,255,24
src/data/4.png,35,5,27,255,25
src/data/4.png,36,5,35,255,30
src/data/4.png,37,5,47,255,28
src/data/4.png,4,6,37,255,31
src/data/4.png,5,6,30,255,30
src/data/4.png,6,6,26,255,30
src/data/4.png,7,6,24,255,30
src/data/4.png,8,6,41,255,26
src/data/4.png,31,6,41,255,25
src/data/4.png,32,6,31,255,26
src/data/4.png,33,6,22,255,24
src/data/4.png,34,6,12,255,24
src/data/4.png,35,6,15,255,21
src/data/4.png,36,6,17,255,24
src/data/4.png,37,6,32,255,25
src/data/4.png,3,7,36,255,29
src/data/4.png,4,7,24,255,27
src/data/4.png,5,7,19,255,27
src/data/4.png,6,7,24,255,27
src/data/4.png,7,7,35,255,29
src/data/4.png,33,7,46,255,24
src/data/4.png,34,7,34,255,24
src/data/4.png,35,7,17,255,20
src/data/4.png,36,7,12,255,20
src/data/4.png,37,7,14,255,20
src/data/4.png,38,7,27,255,24
src/data/4.png,39,7,46,255,26
src/data/4.png,2,8,38,255,28
src/data/4.png,3,8,23,255,27
src/data/4.png,4,8,23,255,27
src/data/4.png,5,8,26,255,28
src/data/4.png,6,8,33,255,29
src/data/4.png,35,8,33,255,21
src/data/4.png,36,8,21,255,21
src/data/4.png,37,8,15,255,21
src/data/4.png,38,8,16,255,24
src/data/4.png,39,8,23,255,27
src/data/4.png,40,8,40,255,28
src/data/4.png,1,9,40,255,32
src/data/4.png,2,9,22,255,28
src/data/4.png,3,9,19,255,27
src/data/4.png,4,9,30,255,28
src/data/4.png,5,9,44,255,30
src/data/4.png,37,9,35,255,23
src/data/4.png,38,9,22,255,26
src/data/4.png,39,9,17,255,30
src/data/4.png,40,9,26,255,31
src/data/4.png,0,10,48,255,41
src/data/4.png,1,10,35,255,32
src/data/4.png,2,10,18,255,30
src/data/4.png,3,10,25,255,27
src/data/4.png,4,10,39,255,30
src/data/4.png,38,10,41,255,27
src/data/4.png,39,10,35,255,30
src/data/4.png,1,11,41,255,33
src/data/4.png,2,11,26,255,35
src/data/4.png,3,11,36,255,33
src/data/4.png,2,12,41,255,38
src/data/4.png,3,12,49,255,34
src/data/5.png,21,0,47,252,40
src/data/5.png,22,0,45,255,39
src/data/5.png,23,0,35,255,41
src/data/5.png,24,0,44,255,40
src/data/5.png,25,0,44,255,40
src/data/5.png,26,0,36,255,39
src/data/5.png,27,0,38,255,35
src/data/5.png,28,0,38,3,36
src/data/5.png,15,1,40,252,30
src/data/5.png,16,1,35,255,33
src/data/5.png,17,1,31,255,33
src/data/5.png,18,1,29,255,34
src/data/5.png,19,1,29,255,37
src/data/5.png,20,1,33,255,39
src/data/5.png,21,1,35,255,41
src/data/5.png,22,1,37,255,39
src/data/5.png,23,1,35,255,40
src/data/5.png,24,1,43,255,39
src/data/5.png,25,1,41,255,41
src/data/5.png,26,1,38,255,39
src/data/5.png,27,1,33,255,37
src/data/5.png,28,1,30,255,38
src/data/5.png,29,1,40,255,38
src/data/5.png,30,1,40,3,41
src/data/5.png,9,2,45,252,32
src/data/5.png,10,2,38,255,34
src/data/5.png,11,2,34,255,32
src/data/5.png,12,2,30,255,32
src/data/5.png,13,2,27,255,33
src/data/5.png,14,2,26,255,35
src/data/5.png,15,2,31,255,34
src/data/5.png,16,2,31,255,34
src/data/5.png,17,2,33,255,32
src/data/5.png,18,2,38,255,33
src/data/5.png,19,2,43,255,34
src/data/5.png,20,2,43,3,35
src/data/5.png,27,2,47,252,36
src/data/5.png,28,2,38,255,38
src/data/5.png,29,2,38,255,37
src/data/5.png,30,2,44,255,36
src/data/5.png,31,2,44,3,35
src/data/5.png,7,3,33,252,32
src/data/5.png,8,3,32,255,35
src/data/5.png,9,3,29,255,37
src/data/5.png,10,3,30,255,37
src/data/5.png,11,3,32,255,34
src/data/5.png,12,3,34,255,32
src/data/5.png,13,3,37,255,31
src/data/5.png,14,3,38,255,31
src/data/5.png,15,3,38,3,31
src/data/5.png,28,3,44,252,41
src/data/5.png,29,3,36,255,38
src/data/5.png,30,3,29,255,38
src/data/5.png,31,3,29,3,37
src/data/5.png,5,4,39,252,36
src/data/5.png,6,4,33,255,36
src/data/5.png,7,4,31,255,36
src/data/5.png,8,4,35,255,36
src/data/5.png,9,4,42,255,35
src/data/5.png,10,4,42,3,33
src/data/5.png,29,4,47,252,35
src/data/5.png,30,4,32,255,34
src/data/5.png,31,4,38,255,33
src/data/5.png,32,4,38,3,37
src/data/5.png,4,5,39,252,38
src/data/5.png,5,5,37,255,39
src/data/5.png,6,5,35,255,39
src/data/5.png,7,5,45,255,37
src/data/5.png,8,5,45,3,38
src/data/5.png,31,5,25,252,35
src/data/5.png,32,5,47,255,33
src/data/5.png,33,5,47,3,37
src/data/5.png,2,6,40,252,38
src/data/5.png,3,6,35,255,40
src/data/5.png,4,6,38,255,40
src/data/5.png,5,6,45,255,39
src/data/5.png,6,6,45,3,40
src/data/5.png,31,6,23,252,31
src/data/5.png,32,6,32,255,31
src/data/5.png,33,6,32,3,34
src/data/5.png,1,7,38,252,42
src/data/5.png,2,7,37,255,40
src/data/5.png,3,7,43,255,39
src/data/5.png,4,7,43,3,40
src/data/5.png,31,7,29,252,27
src/data/5.png,32,7,24,255,30
src/data/5.png,33,7,24,3,32
src/data/5.png,0,8,47,252,43
src/data/5.png,1,8,44,255,41
src/data/5.png,2,8,44,3,40
src/data/5.png,31,8,38,252,28
src/data/5.png,32,8,22,255,32
src/data/5.png,33,8,43,255,29
src/data/5.png,34,8,43,3,34
src/data/5.png,31,9,41,252,31
src/data/5.png,32,9,26,255,34
src/data/5.png,33,9,35,255,31
src/data/5.png,34,9,35,3,35
src/data/5.png,31,10,46,252,28
src/data/5.png,32,10,24,255,31
src/data/5.png,33,10,28,255,27
src/data/5.png,34,10,28,3,28
src/data/5.png,32,11,24,252,29
src/data/5.png,33,11,23,255,26
src/data/5.png,34,11,23,3,26
src/data/5.png,32,12,32,252,28
src/data/5.png,33,12,26,255,29
src/data/5.png,34,12,26,3,30
src/data/6.png,19,0,44,255,35
src/data/6.png,20,0,39,255,34
src/data/6.png,21,0,29,255,33
src/data/6.png,22,0,33,255,32
src/data/6.png,23,0,38,255,35
src/data/6.png,24,0,39,255,36
src/data/6.png,25,0,38,255,35
src/data/6.png,26,0,33,255,34
src/data/6.png,27,0,31,255,32
src/data/6.png,28,0,29,255,33
src/data/6.png,29,0,31,255,33
src/data/6.png,30,0,32,255,33
src/data/6.png,31,0,35,255,33
src/data/6.png,12,1,47,255,39
src/data/6.png,13,1,43,255,40
src/data/6.png,14,1,38,255,38
src/data/6.png,15,1,32,255,37
src/data/6.png,16,1,30,255,37
src/data/6.png,17,1,32,255,36
src/data/6.png,18,1,32,255,37
src/data/6.png,19,1,31,255,36
src/data/6.png,20,1,29,255,34
src/data/6.png,21,1,31,255,32
src/data/6.png,22,1,32,255,32
src/data/6.png,23,1,33,255,35
src/data/6.png,24,1,35,255,36
src/data/6.png,25,1,35,255,36
src/data/6.png,26,1,35,255,34
src/data/6.png,27,1,36,255,32
src/data/6.png,28,1,36,255,33
src/data/6.png,29,1,40,255,32
src/data/6.png,30,1,36,255,33
src/data/6.png,31,1,30,255,34
src/data/6.png,32,1,38,255,32
src/data/6.png,10,2,44,255,38
src/data/6.png,11,2,39,255,41
src/data/6.png,12,2,36,255,41
src/data/6.png,13,2,40,255,40
src/data/6.png,14,2,39,255,38
src/data/6.png,15,2,39,255,35
src/data/6.png,16,2,40,255,35
src/data/6.png,17,2,44,255,33
src/data/6.png,31,2,33,255,32
src/data/6.png,32,2,32,255,32
src/data/6.png,7,3,43,255,40
src/data/6.png,8,3,36,255,39
src/data/6.png,9,3,35,255,39
src/data/6.png,10,3,38,255,39
src/data/6.png,11,3,40,255,39
src/data/6.png,12,3,41,255,39
src/data/6.png,13,3,41,255,39
src/data/6.png,31,3,32,255,30
src/data/6.png,32,3,28,255,31
src/data/6.png,1,4,46,255,33
src/data/6.png,2,4,40,255,36
src/data/6.png,3,4,47,255,32
src/data/6.png,5,4,47,255,39
src/data/6.png,6,4,43,255,42
src/data/6.png,7,4,40,255,41
src/data/6.png,8,4,41,255,38
src/data/6.png,31,4,30,255,28
src/data/6.png,32,4,30,255,28
src/data/6.png,1,5,31,255,33
src/data/6.png,2,5,28,255,34
src/data/6.png,3,5,29,255,35
src/data/6.png,4,5,32,255,39
src/data/6.png,5,5,40,255,41
src/data/6.png,6,5,43,255,42
src/data/6.png,31,5,28,255,28
src/data/6.png,32,5,26,255,28
src/data/6.png,0,6,36,255,33
src/data/6.png,1,6,22,255,33
src/data/6.png,2,6,26,255,31
src/data/6.png,3,6,36,255,33
src/data/6.png,4,6,40,255,34
src/data/6.png,31,6,28,255,28
src/data/6.png,32,6,28,255,28
src/data/6.png,0,7,39,255,32
src/data/6.png,1,7,31,255,33
src/data/6.png,2,7,44,255,28
src/data/6.png,31,7,28,255,32
src/data/6.png,32,7,33,255,29
src/data/6.png,30,8,43,255,30
src/data/6.png,31,8,26,255,36
src/data/6.png,32,8,39,255,31
src/data/6.png,30,9,40,255,34
src/data/6.png,31,9,26,255,39
src/data/6.png,32,9,46,255,33
src/data/6.png,31,10,44,255,37
src/data/7.png,20,0,47,255,35
src/data/7.png,21,0,44,255,36
src/data/7.png,22,0,43,255,34
src/data/7.png,23,0,43,255,34
src/data/7.png,24,0,44,255,35
src/data/7.png,25,0,46,255,34
src/data/7.png,26,0,41,255,35
src/data/7.png,27,0,44,255,31
src/data/7.png,16,1,49,255,34
src/data/7.png,17,1,40,255,35
